FPS
137
135
135
139
137
138
136
139
141
140
142
141
142
140
138
135
141
133
135
134
138
141
142
140
139
139
139
140
139
137
136
136
139
138
137
139
140
140
124
140
140
141
138
138
137
142
133
132
134
131
128
127
137
138
129
106
111
103
113
141
140
137
124
129
130
130
129
132
136
133
131
132
135
134
140
139
139
137
140
135
137
134
126
128
127
128
129
130
132
127
126
128
127
131
135
135
135
140
138
137
136
138
140
141
142
144
141
144
144
142
135
139
140
139
137
127
128
128
131
133
133
134
134
128
131
132
132
137
136
133
136
134
135
138
140
140
142
140
136
132
126
131
134
135
135
133
132
132
131
129
134
131
135
132
134
137
135
133
133
133
136
138
130
90
95
90
90
94
97
97
98
98
127
125
122
126
126
125
136
134
132
136
137
139
140
134
122
139
139
136
141
143
142
142
141
141
140
142
143
141
137
132
134
137
138
133
134
132
129
136
136
136
133
135
130
130
130
133
133
137
135
139
137
138
136
134
134
128
139
141
140
140
137
128
127
128
133
133
133
136
132
132
131
131
134
131
133
135
133
135
131
137
137
135
135
134
132
133
135
136
133
135
131
129
128
125
121
86
89
105
122
137
140
142
132
133
136
136
136
132
133
134
133
134
130
124
132
127
130
125
130
130
127
124
124
126
131
138
141
138
138
136
140
138
137
134
134
131
131
126
127
127
127
130
125
134
135
135
130
131
127
133
132
135
129
136
136
136
135
131
133
133
134
135
132
133
129
131
125
130
133
133
131
133
131
140
138
140
138
130
130
134
138
138
138
137
139
138
128
131
132
135
133
130
133
133
132
135
136
136
137
135
138
