Frame, Time (ms)
    1,     0.000
    2,     5.215
    3,    10.904
    4,    18.005
    5,    25.220
    6,    36.764
    7,    43.484
    8,    49.341
    9,    55.063
   10,    66.176
   11,    71.813
   12,    77.684
   13,    83.874
   14,    90.880
   15,   101.053
   16,   107.461
   17,   113.048
   18,   119.844
   19,   131.678
   20,   136.272
   21,   142.462
   22,   149.681
   23,   156.285
   24,   167.154
   25,   172.709
   26,   179.077
   27,   185.860
   28,   193.043
   29,   204.035
   30,   209.744
   31,   216.103
   32,   222.223
   33,   233.282
   34,   239.108
   35,   244.799
   36,   251.745
   37,   259.024
   38,   269.688
   39,   275.443
   40,   281.203
   41,   288.297
   42,   298.562
   43,   304.210
   44,   310.591
   45,   317.787
   46,   324.984
   47,   336.915
   48,   342.661
   49,   348.732
   50,   354.401
   51,   366.084
   52,   372.334
   53,   377.832
   54,   383.927
   55,   391.145
   56,   402.082
   57,   408.361
   58,   413.748
   59,   420.407
   60,   431.925
   61,   438.169
   62,   443.734
   63,   449.701
   64,   455.960
   65,   466.823
   66,   472.724
   67,   479.006
   68,   485.140
   69,   491.735
   70,   502.404
   71,   508.058
   72,   513.769
   73,   520.228
   74,   531.200
   75,   536.439
   76,   543.681
   77,   549.306
   78,   555.913
   79,   572.235
   80,   575.015
   81,   581.587
   82,   586.958
   83,   598.601
   84,   603.584
   85,   609.507
   86,   616.351
   87,   623.715
   88,   633.908
   89,   639.508
   90,   646.423
   91,   653.717
   92,   664.327
   93,   670.208
   94,   676.431
   95,   683.761
   96,   690.973
   97,   701.898
   98,   708.173
   99,   713.897
  100,   720.759
  101,   733.423
  102,   737.915
  103,   744.352
  104,   751.078
  105,   758.366
  106,   770.920
  107,   777.178
  108,   782.937
  109,   788.792
  110,   800.297
  111,   806.408
  112,   812.416
  113,   818.200
  114,   824.229
  115,   836.061
  116,   842.311
  117,   848.093
  118,   854.102
  119,   867.375
  120,   872.227
  121,   878.609
  122,   884.671
  123,   890.677
  124,   902.852
  125,   907.972
  126,   913.908
  127,   919.918
  128,   926.587
  129,   937.875
  130,   943.990
  131,   949.899
  132,   956.596
  133,   969.959
  134,   976.634
  135,   982.325
  136,   988.431
  137,   999.774
  138,  1006.053
  139,  1012.217
  140,  1019.266
  141,  1024.176
  142,  1035.899
  143,  1041.875
  144,  1047.953
  145,  1053.689
  146,  1065.316
  147,  1071.441
  148,  1077.466
  149,  1084.513
  150,  1089.772
  151,  1101.343
  152,  1107.275
  153,  1113.213
  154,  1118.994
  155,  1124.841
  156,  1135.559
  157,  1141.863
  158,  1147.795
  159,  1154.079
  160,  1164.795
  161,  1170.783
  162,  1176.839
  163,  1182.513
  164,  1189.584
  165,  1200.606
  166,  1206.759
  167,  1212.696
  168,  1218.832
  169,  1226.024
  170,  1238.293
  171,  1244.324
  172,  1250.611
  173,  1258.052
  174,  1268.038
  175,  1273.525
  176,  1279.736
  177,  1285.414
  178,  1291.883
  179,  1303.894
  180,  1310.858
  181,  1316.406
  182,  1321.953
  183,  1334.737
  184,  1339.482
  185,  1345.321
  186,  1351.355
  187,  1358.379
  188,  1369.487
  189,  1375.485
  190,  1381.351
  191,  1388.320
  192,  1398.804
  193,  1405.074
  194,  1411.223
  195,  1418.603
  196,  1425.860
  197,  1436.923
  198,  1446.055
  199,  1451.693
  200,  1457.300
  201,  1468.450
  202,  1476.907
  203,  1483.807
  204,  1490.036
  205,  1501.016
  206,  1506.677
  207,  1512.601
  208,  1518.257
  209,  1524.352
  210,  1535.164
  211,  1541.031
  212,  1547.026
  213,  1554.156
  214,  1565.254
  215,  1571.216
  216,  1578.791
  217,  1584.212
  218,  1591.551
  219,  1602.504
  220,  1608.414
  221,  1614.826
  222,  1621.664
  223,  1633.751
  224,  1639.690
  225,  1645.954
  226,  1652.132
  227,  1658.934
  228,  1670.102
  229,  1675.938
  230,  1681.692
  231,  1688.729
  232,  1699.818
  233,  1705.630
  234,  1711.444
  235,  1718.603
  236,  1725.784
  237,  1736.541
  238,  1742.399
  239,  1748.407
  240,  1755.350
  241,  1766.938
  242,  1772.828
  243,  1779.064
  244,  1785.051
  245,  1792.162
  246,  1803.543
  247,  1809.367
  248,  1815.233
  249,  1821.582
  250,  1832.598
  251,  1838.482
  252,  1844.265
  253,  1851.555
  254,  1858.632
  255,  1871.236
  256,  1876.988
  257,  1881.768
  258,  1888.220
  259,  1900.370
  260,  1905.385
  261,  1911.174
  262,  1918.082
  263,  1925.465
  264,  1937.575
  265,  1942.366
  266,  1948.181
  267,  1954.637
  268,  1967.232
  269,  1973.639
  270,  1979.703
  271,  1985.811
  272,  1991.360
  273,  2003.095
  274,  2009.087
  275,  2015.133
  276,  2020.895
  277,  2033.608
  278,  2039.656
  279,  2046.130
  280,  2051.988
  281,  2057.608
  282,  2069.359
  283,  2075.306
  284,  2081.709
  285,  2088.038
  286,  2099.557
  287,  2105.733
  288,  2111.753
  289,  2117.935
  290,  2124.334
  291,  2134.944
  292,  2140.655
  293,  2146.529
  294,  2154.104
  295,  2169.324
  296,  2175.294
  297,  2181.199
  298,  2187.074
  299,  2198.146
  300,  2204.142
  301,  2209.984
  302,  2216.154
  303,  2222.152
  304,  2234.475
  305,  2240.496
  306,  2246.452
  307,  2252.436
  308,  2259.333
  309,  2270.790
  310,  2276.905
  311,  2282.599
  312,  2288.845
  313,  2300.451
  314,  2306.478
  315,  2312.590
  316,  2318.798
  317,  2325.935
  318,  2337.488
  319,  2343.875
  320,  2349.861
  321,  2356.037
  322,  2367.984
  323,  2374.007
  324,  2380.187
  325,  2386.377
  326,  2393.577
  327,  2405.243
  328,  2411.428
  329,  2417.207
  330,  2423.756
  331,  2435.306
  332,  2441.280
  333,  2447.299
  334,  2453.462
  335,  2465.049
  336,  2471.150
  337,  2477.285
  338,  2483.441
  339,  2490.607
  340,  2502.702
  341,  2508.895
  342,  2514.946
  343,  2520.795
  344,  2533.206
  345,  2538.849
  346,  2544.962
  347,  2550.865
  348,  2558.018
  349,  2570.315
  350,  2576.343
  351,  2582.279
  352,  2587.920
  353,  2600.050
  354,  2605.652
  355,  2611.677
  356,  2617.427
  357,  2624.347
  358,  2636.955
  359,  2643.011
  360,  2648.836
  361,  2654.590
  362,  2665.589
  363,  2671.223
  364,  2677.112
  365,  2683.380
  366,  2690.417
  367,  2701.517
  368,  2707.717
  369,  2713.460
  370,  2719.837
  371,  2727.128
  372,  2739.719
  373,  2743.942
  374,  2749.696
  375,  2756.223
  376,  2767.670
  377,  2773.476
  378,  2779.350
  379,  2785.674
  380,  2792.593
  381,  2803.216
  382,  2809.390
  383,  2815.155
  384,  2821.835
  385,  2832.677
  386,  2838.452
  387,  2844.433
  388,  2851.211
  389,  2858.137
  390,  2869.946
  391,  2875.520
  392,  2880.892
  393,  2887.434
  394,  2900.017
  395,  2904.749
  396,  2910.473
  397,  2916.660
  398,  2923.800
  399,  2936.251
  400,  2942.301
  401,  2948.215
  402,  2953.571
  403,  2965.878
  404,  2971.832
  405,  2977.834
  406,  2983.760
  407,  2989.263
  408,  3001.576
  409,  3007.947
  410,  3013.799
  411,  3019.622
  412,  3026.168
  413,  3039.321
  414,  3045.357
  415,  3052.156
  416,  3059.215
  417,  3070.385
  418,  3076.596
  419,  3082.594
  420,  3089.418
  421,  3100.846
  422,  3106.499
  423,  3113.014
  424,  3118.141
  425,  3123.767
  426,  3136.733
  427,  3141.982
  428,  3147.647
  429,  3154.056
  430,  3167.197
  431,  3172.738
  432,  3178.633
  433,  3184.859
  434,  3190.392
  435,  3202.547
  436,  3208.070
  437,  3213.984
  438,  3219.589
  439,  3225.073
  440,  3236.313
  441,  3241.972
  442,  3248.089
  443,  3253.592
  444,  3264.763
  445,  3270.499
  446,  3277.050
  447,  3282.409
  448,  3288.567
  449,  3302.602
  450,  3308.068
  451,  3315.033
  452,  3320.718
  453,  3333.601
  454,  3339.805
  455,  3344.146
  456,  3349.704
  457,  3355.259
  458,  3368.047
  459,  3373.648
  460,  3379.651
  461,  3385.207
  462,  3390.457
  463,  3401.190
  464,  3407.318
  465,  3412.818
  466,  3418.964
  467,  3425.903
  468,  3436.766
  469,  3442.590
  470,  3448.776
  471,  3454.537
  472,  3465.978
  473,  3471.929
  474,  3477.908
  475,  3483.526
  476,  3489.666
  477,  3500.741
  478,  3506.572
  479,  3512.407
  480,  3518.572
  481,  3525.364
  482,  3536.308
  483,  3542.073
  484,  3548.028
  485,  3554.013
  486,  3565.843
  487,  3571.823
  488,  3577.649
  489,  3583.795
  490,  3590.003
  491,  3600.828
  492,  3606.631
  493,  3612.889
  494,  3618.915
  495,  3625.714
  496,  3636.625
  497,  3642.255
  498,  3648.237
  499,  3654.541
  500,  3665.779
  501,  3671.630
  502,  3677.387
  503,  3683.233
  504,  3690.031
  505,  3701.071
  506,  3707.636
  507,  3713.217
  508,  3719.245
  509,  3725.737
  510,  3738.667
  511,  3743.273
  512,  3749.689
  513,  3755.525
  514,  3768.320
  515,  3774.244
  516,  3780.192
  517,  3786.378
  518,  3792.088
  519,  3805.428
  520,  3810.907
  521,  3816.864
  522,  3822.487
  523,  3833.827
  524,  3839.471
  525,  3846.104
  526,  3851.498
  527,  3856.967
  528,  3869.810
  529,  3875.554
  530,  3880.412
  531,  3886.305
  532,  3892.148
  533,  3906.356
  534,  3910.022
  535,  3915.887
  536,  3921.160
  537,  3932.886
  538,  3938.667
  539,  3945.016
  540,  3950.562
  541,  3956.200
  542,  3967.829
  543,  3973.475
  544,  3979.755
  545,  3985.522
  546,  3991.131
  547,  4002.526
  548,  4008.574
  549,  4014.370
  550,  4020.993
  551,  4031.774
  552,  4037.709
  553,  4044.202
  554,  4049.940
  555,  4056.224
  556,  4066.794
  557,  4072.621
  558,  4078.675
  559,  4085.486
  560,  4092.185
  561,  4104.231
  562,  4111.390
  563,  4117.320
  564,  4122.892
  565,  4133.778
  566,  4139.631
  567,  4145.697
  568,  4151.851
  569,  4157.785
  570,  4169.286
  571,  4175.033
  572,  4180.985
  573,  4186.499
  574,  4198.610
  575,  4204.460
  576,  4210.288
  577,  4216.349
  578,  4221.892
  579,  4233.392
  580,  4239.158
  581,  4245.126
  582,  4251.299
  583,  4258.360
  584,  4270.012
  585,  4275.569
  586,  4281.516
  587,  4287.608
  588,  4300.169
  589,  4305.417
  590,  4311.217
  591,  4317.209
  592,  4324.218
  593,  4336.303
  594,  4340.974
  595,  4346.791
  596,  4353.544
  597,  4368.404
  598,  4373.036
  599,  4379.074
  600,  4385.252
  601,  4390.775
  602,  4401.358
  603,  4407.053
  604,  4412.827
  605,  4419.920
  606,  4426.969
  607,  4438.009
  608,  4443.897
  609,  4449.959
  610,  4456.237
  611,  4467.441
  612,  4473.077
  613,  4478.819
  614,  4485.685
  615,  4492.812
  616,  4505.583
  617,  4510.390
  618,  4516.183
  619,  4522.112
  620,  4533.243
  621,  4539.248
  622,  4545.237
  623,  4551.790
  624,  4558.859
  625,  4569.970
  626,  4575.828
  627,  4581.673
  628,  4587.231
  629,  4599.426
  630,  4607.195
  631,  4614.368
  632,  4620.636
  633,  4632.303
  634,  4638.201
  635,  4644.324
  636,  4650.031
  637,  4655.807
  638,  4666.489
  639,  4672.067
  640,  4677.711
  641,  4685.559
  642,  4692.135
  643,  4702.928
  644,  4708.916
  645,  4714.930
  646,  4721.581
  647,  4732.619
  648,  4738.570
  649,  4744.605
  650,  4751.082
  651,  4758.169
  652,  4769.246
  653,  4775.444
  654,  4781.141
  655,  4787.542
  656,  4798.805
  657,  4804.709
  658,  4810.787
  659,  4817.119
  660,  4824.195
  661,  4838.003
  662,  4842.886
  663,  4848.978
  664,  4854.448
  665,  4867.514
  666,  4872.255
  667,  4878.376
  668,  4884.179
