Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.046356,27.271,16.678,0.000,0.010,22.063
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.074230,27.874,33.367,0.000,0.011,27.555
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.100997,26.767,33.368,0.000,0.010,34.157
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.128517,27.520,16.752,0.000,0.019,23.388
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.157060,28.543,33.354,0.000,0.030,28.199
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.186955,29.894,33.320,0.000,0.027,31.625
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.217111,30.156,33.357,0.000,0.033,34.826
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.247587,30.476,16.702,0.000,0.031,21.052
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.276389,28.802,33.378,0.000,0.022,25.628
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.304733,28.345,33.351,0.000,0.017,30.635
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.331783,27.050,16.668,0.000,0.018,20.253
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.362787,31.005,33.385,0.000,0.016,22.634
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.391195,28.407,33.362,0.000,0.016,27.588
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.421648,30.453,33.363,0.000,0.034,30.498
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.450785,29.137,16.698,0.000,0.017,18.058
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.485656,34.871,50.023,0.000,0.019,33.211
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.514075,28.418,16.719,0.000,0.018,21.511
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.542613,28.538,33.354,0.000,0.026,26.327
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.570649,28.037,33.353,0.000,0.021,31.644
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.599992,29.343,16.702,0.000,0.016,19.003
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.628767,28.774,33.352,0.000,0.018,23.580
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.657639,28.873,33.371,0.000,0.019,28.078
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.686246,28.607,33.378,0.000,0.018,32.850
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.714440,28.194,16.687,0.000,0.029,21.342
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.743125,28.685,33.396,0.000,0.016,26.053
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.777802,34.677,33.381,0.000,0.047,24.757
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.811189,33.387,33.359,0.000,0.043,24.728
DOOMx64.exe,5116,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.843616,32.426,33.348,0.000,0.044,25.651
