Frame, Time (ms)
  366,  3581.536
  367,  3598.121
  368,  3603.279
  369,  3612.894
  370,  3627.040
  371,  3632.484
  372,  3641.709
  373,  3648.992
  374,  3664.510
  375,  3669.476
  376,  3678.186
  377,  3694.578
  378,  3699.584
  379,  3708.533
  380,  3718.151
  381,  3734.715
  382,  3739.838
  383,  3748.928
  384,  3763.685
  385,  3769.053
  386,  3777.749
  387,  3786.264
  388,  3801.623
  389,  3806.888
  390,  3815.426
  391,  3830.816
  392,  3836.448
  393,  3845.105
  394,  3861.136
  395,  3866.831
  396,  3875.284
  397,  3884.288
  398,  3899.178
  399,  3904.878
  400,  3913.778
  401,  3929.181
  402,  3934.109
  403,  3942.719
  404,  3951.280
  405,  3971.632
  406,  3976.036
  407,  3985.561
  408,  3999.809
  409,  4005.391
  410,  4014.661
  411,  4030.336
  412,  4035.886
  413,  4044.701
  414,  4053.546
  415,  4068.311
  416,  4073.836
  417,  4082.404
  418,  4099.612
  419,  4105.595
  420,  4114.182
  421,  4130.446
  422,  4135.457
  423,  4144.040
  424,  4154.053
  425,  4171.242
  426,  4175.589
  427,  4184.394
  428,  4200.881
  429,  4205.130
  430,  4213.002
  431,  4228.825
  432,  4234.200
  433,  4242.495
  434,  4251.504
  435,  4267.931
  436,  4273.650
  437,  4282.791
  438,  4297.489
  439,  4302.855
  440,  4311.321
  441,  4329.922
  442,  4335.125
  443,  4343.710
  444,  4352.442
  445,  4369.257
  446,  4374.737
  447,  4383.146
  448,  4401.236
  449,  4406.502
  450,  4415.570
  451,  4432.508
  452,  4437.748
  453,  4446.573
  454,  4463.120
  455,  4468.755
  456,  4478.073
  457,  4486.110
  458,  4501.974
  459,  4505.540
  460,  4513.988
  461,  4530.815
  462,  4536.125
  463,  4544.391
  464,  4554.594
  465,  4569.034
  466,  4573.733
  467,  4582.526
  468,  4597.951
  469,  4603.260
  470,  4612.056
  471,  4627.390
  472,  4632.442
  473,  4641.937
  474,  4650.009
  475,  4666.989
  476,  4672.509
  477,  4681.607
  478,  4699.084
  479,  4704.615
  480,  4713.208
  481,  4730.532
  482,  4736.673
  483,  4745.080
  484,  4753.984
  485,  4770.253
  486,  4774.467
  487,  4783.528
  488,  4799.119
  489,  4804.630
  490,  4813.250
  491,  4831.000
  492,  4836.631
  493,  4845.514
  494,  4853.866
  495,  4870.332
  496,  4876.523
  497,  4884.481
  498,  4900.061
  499,  4905.983
  500,  4914.775
  501,  4930.102
  502,  4935.284
  503,  4944.035
  504,  4954.126
  505,  4967.995
  506,  4973.246
  507,  4982.699
  508,  4998.293
  509,  5004.029
  510,  5013.185
  511,  5030.222
  512,  5035.711
  513,  5045.079
  514,  5053.446
  515,  5072.521
  516,  5078.666
  517,  5087.888
  518,  5102.100
  519,  5108.113
  520,  5117.229
  521,  5133.440
  522,  5138.991
  523,  5148.071
  524,  5164.271
  525,  5169.848
  526,  5178.485
  527,  5196.352
  528,  5201.191
  529,  5210.394
  530,  5218.347
  531,  5234.504
  532,  5240.004
  533,  5249.152
  534,  5263.740
  535,  5269.040
  536,  5278.254
  537,  5287.259
  538,  5302.234
  539,  5307.033
  540,  5315.049
  541,  5332.319
  542,  5338.264
  543,  5346.283
  544,  5363.405
  545,  5367.599
  546,  5376.184
  547,  5385.641
  548,  5401.175
  549,  5406.509
  550,  5415.589
  551,  5429.628
  552,  5434.645
  553,  5443.177
  554,  5452.124
  555,  5468.897
  556,  5474.094
  557,  5483.293
  558,  5499.399
  559,  5503.394
  560,  5512.126
  561,  5528.742
  562,  5533.683
  563,  5542.641
  564,  5551.834
  565,  5568.089
  566,  5573.592
  567,  5581.751
  568,  5599.464
  569,  5604.802
  570,  5613.626
  571,  5631.973
  572,  5637.687
  573,  5648.144
  574,  5662.604
  575,  5667.864
  576,  5677.249
  577,  5685.617
  578,  5700.557
  579,  5705.877
  580,  5714.423
  581,  5730.813
  582,  5736.326
  583,  5745.358
  584,  5753.591
  585,  5768.598
  586,  5774.023
  587,  5782.620
  588,  5800.532
  589,  5806.058
  590,  5815.242
  591,  5831.743
  592,  5837.800
  593,  5846.142
  594,  5862.382
  595,  5868.400
  596,  5877.509
  597,  5886.001
  598,  5900.938
  599,  5906.364
  600,  5914.998
  601,  5931.848
  602,  5937.911
  603,  5946.546
  604,  5964.359
  605,  5968.532
  606,  5978.269
  607,  5986.383
  608,  6001.718
  609,  6007.264
  610,  6016.147
  611,  6033.350
  612,  6038.834
  613,  6048.861
  614,  6064.670
  615,  6070.124
  616,  6078.948
  617,  6095.019
  618,  6100.153
  619,  6109.343
  620,  6118.343
  621,  6134.451
  622,  6140.406
  623,  6148.177
  624,  6165.032
  625,  6170.635
  626,  6179.433
  627,  6196.201
  628,  6201.935
  629,  6211.691
  630,  6218.573
  631,  6235.398
  632,  6241.172
  633,  6250.385
  634,  6265.150
  635,  6270.898
  636,  6280.699
  637,  6295.892
  638,  6301.138
  639,  6310.066
  640,  6318.294
  641,  6335.893
  642,  6341.603
  643,  6350.935
  644,  6366.667
  645,  6372.526
  646,  6381.611
  647,  6399.039
  648,  6404.465
  649,  6412.826
  650,  6430.324
  651,  6436.025
  652,  6445.624
  653,  6454.673
  654,  6469.460
  655,  6475.180
  656,  6485.058
  657,  6503.455
  658,  6508.657
  659,  6516.776
  660,  6530.882
  661,  6536.560
  662,  6545.189
  663,  6562.496
  664,  6566.663
  665,  6576.532
  666,  6584.246
  667,  6599.762
  668,  6605.479
  669,  6614.136
  670,  6633.984
  671,  6640.229
  672,  6649.300
  673,  6664.044
  674,  6669.393
  675,  6678.170
  676,  6687.566
  677,  6702.682
  678,  6708.086
  679,  6717.645
  680,  6733.241
  681,  6738.644
  682,  6748.023
  683,  6765.244
  684,  6770.725
  685,  6779.603
  686,  6795.329
  687,  6800.654
  688,  6810.377
  689,  6818.587
  690,  6834.142
  691,  6839.432
  692,  6848.400
  693,  6864.019
  694,  6869.873
  695,  6878.534
  696,  6886.479
  697,  6903.306
  698,  6908.726
  699,  6917.359
  700,  6933.946
  701,  6939.811
  702,  6948.046
  703,  6964.825
  704,  6970.394
  705,  6979.195
  706,  6995.498
  707,  7000.611
  708,  7009.640
  709,  7018.348
  710,  7036.024
  711,  7041.964
  712,  7050.990
  713,  7066.860
  714,  7071.880
  715,  7081.254
  716,  7096.961
  717,  7102.058
  718,  7111.926
  719,  7120.252
  720,  7136.062
  721,  7141.531
  722,  7150.653
  723,  7167.593
  724,  7172.356
  725,  7181.127
  726,  7195.252
  727,  7200.427
  728,  7209.826
  729,  7218.428
  730,  7233.080
  731,  7238.159
  732,  7247.238
  733,  7262.436
  734,  7267.788
  735,  7277.225
  736,  7285.113
  737,  7301.248
  738,  7306.494
  739,  7315.248
  740,  7331.853
  741,  7337.556
  742,  7346.333
  743,  7361.828
  744,  7367.586
  745,  7376.937
  746,  7385.222
  747,  7400.361
  748,  7406.131
  749,  7414.862
  750,  7430.940
  751,  7436.615
  752,  7445.448
  753,  7454.533
  754,  7470.106
  755,  7475.451
  756,  7484.768
  757,  7502.387
  758,  7506.591
  759,  7515.616
  760,  7533.273
  761,  7538.783
  762,  7547.976
  763,  7563.176
  764,  7568.416
  765,  7577.993
  766,  7585.604
  767,  7603.329
  768,  7608.242
  769,  7616.139
  770,  7633.034
  771,  7638.874
  772,  7647.473
  773,  7668.052
  774,  7672.765
  775,  7681.443
  776,  7700.681
  777,  7706.133
  778,  7714.750
  779,  7730.512
  780,  7736.171
  781,  7744.925
  782,  7752.999
  783,  7770.669
  784,  7775.353
  785,  7783.663
  786,  7800.372
  787,  7805.891
  788,  7814.170
  789,  7831.481
  790,  7837.118
  791,  7846.034
  792,  7853.566
  793,  7870.762
  794,  7876.194
  795,  7885.493
  796,  7902.315
  797,  7907.832
  798,  7916.703
  799,  7932.812
  800,  7938.183
  801,  7947.151
  802,  7962.603
  803,  7967.806
  804,  7977.097
  805,  7985.084
  806,  8001.508
  807,  8007.067
  808,  8015.830
  809,  8033.920
  810,  8038.620
  811,  8048.611
  812,  8063.607
  813,  8068.668
  814,  8077.987
  815,  8085.746
  816,  8101.205
  817,  8106.688
  818,  8115.156
  819,  8132.103
  820,  8137.561
  821,  8146.481
  822,  8162.197
  823,  8167.713
  824,  8176.471
  825,  8187.117
  826,  8203.681
  827,  8211.057
  828,  8218.839
  829,  8236.043
  830,  8241.292
  831,  8250.583
  832,  8266.205
  833,  8272.130
  834,  8281.125
  835,  8297.003
  836,  8301.766
  837,  8311.539
  838,  8320.956
  839,  8335.914
  840,  8341.297
  841,  8350.494
  842,  8368.446
  843,  8372.937
  844,  8381.940
  845,  8398.904
  846,  8404.334
  847,  8413.831
  848,  8428.868
  849,  8434.801
  850,  8443.643
  851,  8451.937
  852,  8468.318
  853,  8474.008
  854,  8483.165
  855,  8500.999
  856,  8505.054
  857,  8513.612
  858,  8531.020
  859,  8536.592
  860,  8546.174
  861,  8561.532
  862,  8566.708
  863,  8575.965
  864,  8583.886
  865,  8600.254
  866,  8605.581
  867,  8614.906
  868,  8630.620
  869,  8636.073
  870,  8645.378
  871,  8653.705
  872,  8669.261
  873,  8674.610
  874,  8683.298
  875,  8702.892
  876,  8707.275
  877,  8716.398
  878,  8732.141
  879,  8737.551
  880,  8746.283
