Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.053988,31.957,33.366,0.000,0.006,26.962
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.085344,31.356,33.375,0.000,0.006,28.981
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.117107,31.763,33.365,0.000,0.006,30.583
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.148777,31.670,33.358,0.000,0.005,32.270
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.180908,32.130,33.395,0.000,0.006,33.534
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.212774,31.866,33.357,0.000,0.006,35.026
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.245131,32.357,16.683,0.000,0.006,19.352
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.275578,30.447,50.043,0.000,0.006,38.947
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.308297,32.719,16.675,0.000,0.006,22.903
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.340297,32.000,33.370,0.000,0.006,24.274
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.371786,31.489,33.365,0.000,0.006,26.150
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.399905,28.120,33.380,0.000,0.005,31.410
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.433065,33.160,33.404,0.000,0.006,31.653
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.466401,33.336,33.319,0.000,0.006,31.637
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.497279,30.878,33.386,0.000,0.006,34.145
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.528518,31.239,33.347,0.000,0.007,36.254
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.560286,31.768,16.672,0.000,0.006,21.157
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.591337,31.051,50.073,0.000,0.007,40.179
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.622429,31.092,16.679,0.000,0.006,25.767
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.653938,31.510,33.364,0.000,0.006,27.621
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.685377,31.439,33.374,0.000,0.006,29.557
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.718406,33.029,33.365,0.000,0.005,29.892
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.750906,32.499,33.350,0.000,0.006,30.744
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.782196,31.290,33.369,0.000,0.006,32.822
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.813909,31.713,33.389,0.000,0.006,34.497
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.846078,32.168,33.370,0.000,0.006,35.699
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.877086,31.009,16.655,0.000,0.006,21.346
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.908520,31.434,50.062,0.000,0.006,39.974
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.940161,31.641,33.365,0.000,0.006,41.698
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.971505,31.344,16.679,0.000,0.006,27.033
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.999720,28.215,33.385,0.000,0.006,32.203
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.033210,33.490,33.362,0.000,0.005,32.075
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.066593,33.382,33.365,0.000,0.006,32.057
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.098509,31.917,33.372,0.000,0.007,33.513
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.130121,31.612,33.372,0.000,0.005,35.273
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.163505,33.384,16.660,0.000,0.006,18.549
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.193981,30.475,33.372,0.000,0.005,21.446
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,1,1.216377,22.396,0.000,0.000,0.005,0.000
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.226981,10.604,33.366,0.000,0.005,21.811
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,1,1.233985,7.004,0.000,0.000,0.005,0.000
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.241070,7.085,16.688,0.000,0.006,24.410
dota2.exe,9876,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,1,1.252482,11.412,0.000,0.000,0.005,0.000
