Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.918627,9.540,16.681,4.772,13.263,40.181
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.925784,7.157,0.002,6.266,14.440,33.026
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.934932,9.148,16.675,5.391,13.890,40.553
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.942282,7.350,0.002,6.660,15.134,33.205
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.952876,10.594,16.662,4.667,13.138,39.273
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.959925,7.050,0.001,6.212,14.399,32.224
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.968378,8.453,16.711,6.033,14.942,40.483
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.977053,8.674,0.001,6.383,14.580,31.809
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.986356,9.303,16.668,5.376,14.083,39.174
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.994822,8.466,0.001,5.714,13.965,30.710
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.004902,10.080,16.671,3.936,12.583,37.301
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.013241,8.340,16.690,4.401,12.797,45.652
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.023817,10.576,0.001,2.392,11.302,35.076
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.029963,6.145,16.676,5.231,14.133,45.607
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.037932,7.969,0.001,6.237,14.518,37.639
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.046355,8.423,16.691,6.219,15.118,45.907
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.055156,8.802,0.001,6.400,14.686,37.107
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.091237,36.081,33.388,0.118,4.828,34.414
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.101375,10.138,0.020,0.521,7.287,24.297
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.105432,4.057,16.666,3.340,12.549,36.905
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,1.112375,6.943,16.678,5.696,14.453,46.640
