Frame, Time (ms)
    1,     0.000
    2,     7.160
    3,    20.660
    4,    24.320
    5,    30.193
    6,    35.705
    7,    42.528
    8,    57.010
    9,    62.536
   10,    68.156
   11,    74.913
   12,    86.190
   13,    91.606
   14,    98.255
   15,   103.630
   16,   110.214
   17,   124.618
   18,   128.461
   19,   133.745
   20,   140.526
   21,   153.336
   22,   159.304
   23,   164.915
   24,   171.518
   25,   184.758
   26,   190.730
   27,   196.144
   28,   202.401
   29,   208.229
   30,   222.397
   31,   227.911
   32,   234.981
   33,   242.300
   34,   255.023
   35,   260.637
   36,   266.109
   37,   271.534
   38,   286.667
   39,   291.023
   40,   296.422
   41,   303.356
   42,   308.883
   43,   323.388
   44,   327.593
   45,   334.830
   46,   339.018
   47,   353.068
   48,   358.775
   49,   364.080
   50,   370.788
   51,   376.380
   52,   390.213
   53,   395.928
   54,   401.635
   55,   408.094
   56,   419.930
   57,   425.743
   58,   431.229
   59,   438.694
   60,   442.841
   61,   455.688
   62,   461.207
   63,   466.559
   64,   474.220
   65,   486.644
   66,   492.186
   67,   497.578
   68,   504.485
   69,   510.164
   70,   523.196
   71,   528.956
   72,   534.875
   73,   542.668
   74,   554.325
   75,   560.492
   76,   566.330
   77,   572.179
   78,   584.719
   79,   590.614
   80,   596.379
   81,   602.225
   82,   608.251
   83,   622.939
   84,   629.062
   85,   634.556
   86,   640.583
   87,   661.343
   88,   666.811
   89,   670.813
   90,   676.856
   91,   691.828
   92,   695.957
   93,   702.055
   94,   708.208
   95,   721.819
   96,   725.581
   97,   731.242
   98,   736.494
   99,   743.268
  100,   758.109
  101,   764.054
  102,   767.726
  103,   774.831
  104,   787.836
  105,   791.860
  106,   797.493
  107,   803.089
  108,   808.847
  109,   822.199
  110,   826.026
  111,   831.680
  112,   837.071
  113,   853.942
  114,   857.637
  115,   865.203
  116,   869.605
  117,   875.027
  118,   892.193
  119,   895.153
  120,   900.839
  121,   906.224
  122,   922.706
  123,   926.101
  124,   931.524
  125,   940.061
  126,   953.991
  127,   957.900
  128,   963.491
  129,   969.158
  130,   975.771
  131,   992.315
  132,   997.036
  133,  1003.127
  134,  1008.899
  135,  1025.183
  136,  1029.071
  137,  1034.091
  138,  1039.437
  139,  1055.061
  140,  1058.578
  141,  1065.091
  142,  1070.711
  143,  1075.988
  144,  1088.909
  145,  1094.460
  146,  1099.788
  147,  1107.017
  148,  1120.206
  149,  1125.978
  150,  1131.395
  151,  1138.132
  152,  1143.785
  153,  1155.411
  154,  1161.332
  155,  1168.744
  156,  1173.325
  157,  1184.070
  158,  1189.843
  159,  1195.576
  160,  1200.991
  161,  1208.216
  162,  1220.508
  163,  1226.362
  164,  1231.800
  165,  1239.342
  166,  1252.177
  167,  1258.175
  168,  1263.519
  169,  1269.441
  170,  1275.123
  171,  1289.039
  172,  1293.133
  173,  1298.544
  174,  1305.565
  175,  1317.873
  176,  1323.160
  177,  1330.290
  178,  1335.680
  179,  1342.493
  180,  1353.256
  181,  1358.914
  182,  1364.593
  183,  1371.771
  184,  1375.691
  185,  1388.554
  186,  1393.555
  187,  1400.650
  188,  1405.942
  189,  1418.619
  190,  1423.756
  191,  1430.936
  192,  1436.290
  193,  1443.017
  194,  1456.193
  195,  1461.912
  196,  1466.233
  197,  1474.706
  198,  1484.640
  199,  1490.169
  200,  1495.941
  201,  1502.419
  202,  1506.875
  203,  1522.280
  204,  1526.831
  205,  1532.455
  206,  1537.999
  207,  1543.768
  208,  1557.771
  209,  1563.555
  210,  1568.842
